_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,client_id,coordinates_accuracy,coordinates_altitude,coordinates_latitude,coordinates_longitude,description,step,transportation_mode,transportation_mode_other,_row_etag,_filter_type,_filter_value
uuid:06a1d40f-8339-4962-a804-e8507dc60fd4,geopoints,default,COMPLETE,2014-05-22T20:28:07.604000000,null,11111,23.072999954223633,0.0,47.6535939,-122.3056717,Office,1,Walk,"","","",""
uuid:8ba5d1b5-a561-49a9-b753-002a63b95863,geopoints,default,COMPLETE,2014-05-22T20:30:27.387000000,null,11111,21.89800071716309,0.0,47.6535677,-122.3056343,Sidewalk,2,Tuk-tuk,"","","",""
uuid:8b1a8c2e-db47-46c7-8221-9d38b6ff738a,geopoints,default,COMPLETE,2014-05-29T21:47:16.058000000,null,18716,12.0,25.60460667310196,47.65457714706101,-122.30532322013828,HUB,1,Walk,"","","",""
uuid:8b939986-f915-4f47-85da-17223e9764bf,geopoints,default,COMPLETE,2014-05-29T21:52:08.781000000,null,18716,6.0,18.23471267777669,47.655073111657785,-122.30317248380132,down steps,2,Walk,"","","",""
uuid:11740828-4bd7-4558-88d2-09fe9ef6997d,geopoints,default,COMPLETE,2014-05-29T21:56:53.849000000,null,18716,8.0,-1.7720638602035308,47.65316560876954,-122.30372296123282,by bridge,3,Tuk-tuk,"","","",""
uuid:3fcd4713-11c8-4f3a-bfec-0e6e8c169f6a,geopoints,default,COMPLETE,2014-05-29T22:02:49.080000000,null,18716,8.0,48.03474546658904,47.65278522671032,-122.30582491271186,intersection,4,Walk,"","","",""
uuid:17c87220-4249-4acf-8940-b0d636d74532,geopoints,default,COMPLETE,2014-05-29T22:07:00.140000000,null,18716,16.0,63.44658874682348,47.65347359108127,-122.30754682208504,fountain,5,Walk,"","","",""
